gene estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue
KDM1A -1227.24753720539 0.00932008923436715 0.575402931509022 0.965982974168896 985.164833565334 0.532808897861389 0.592884953295983 0.972505726229703 554.711284734948 0.754841941273389 0.723238507627075 0.978322276378407 -1009.63178655523 0.871650828512339 0.473805234332192 0.945729823985575 -1385.11888886937 0.918065079330824 0.317218072671133 0.93079864057966 -1824.06845384708 0.979457295701831 0.0679018260812485 0.777615148734338 -485.234352353746 0.995324496875575 0.636790035382688 0.990486055630456
RBM6 -91.9972804867469 0.0111698324824302 0.539567442841374 0.960434750979299 34.0874058220532 0.523133707399032 0.7853104876576 0.986908010476128 37.543669706168 0.673330047240734 0.761416007415491 0.978541129658351 -22.722945268933 0.764363255032431 0.868073563810315 0.993958666823315 -26.9315565431045 0.938576597089011 0.765292927909452 0.99158133834357 45.8354305950671 0.968193689944131 0.672928767469265 0.997377122847242 -47.0646857548696 0.993684047048735 0.642257157197181 0.991583700633565
RECQL 687.940025951846 0.0142112763238799 0.488623997032498 0.958069367198628 288.474177948557 0.466973107220467 0.732226632377492 0.98504065850042 614.815180676949 0.631594399870095 0.48304121500459 0.95791182627141 390.80484114685 0.817466268056128 0.599255787048737 0.960298921739393 3.29693449980311 0.872487347129849 0.997275543149276 0.99957040429639 -920.975592130436 0.897149427084152 0.624762469827334 0.993259713644949 -24.0974553211652 0.960580813534644 0.990117087014748 0.99917203741262
SLC22A16 3.04343308662705 0.0584729544649738 0.155359343146584 0.85041647415778 3.56464974931702 0.398189615537664 0.0693268639946805 0.737438659185232 3.39518374741567 0.419158275350972 0.132210952544489 0.823319510331865 5.22437758991878 0.798094433927441 0.00323388235325495 0.285417369492333 6.20007946052493 0.848885664135298 0.0114817677140965 0.476776467604087 5.15895263096416 0.887834164190252 0.102028148978844 0.832660714300177 4.80484354549053 0.942582236195287 0.285533815193247 0.962450281910666
ABCB5 -11.4657388579543 0.0176667877761288 0.439645504407643 0.948996626414448 -14.9268614990379 0.150144562292607 0.366144321817298 0.935259403366789 -8.70999017715434 0.226422596081389 0.629430946751325 0.975555237604297 -26.6871174551572 0.546551611563304 0.152473398013996 0.846152920693662 -18.6208727677218 0.68667844524151 0.440699907020208 0.944522737062947 -24.5799426242825 0.876815530276114 0.246605690400685 0.928421079865865 0.307984216133375 0.981620691212081 0.991247607513265 0.99917203741262
SLC25A13 -615.083132342658 0.00223173768388275 0.784394361211205 0.990569659292755 -34.9825824288388 0.481010333370342 0.984261160311366 0.998531538401968 -438.174001681795 0.687492829913885 0.78691116595978 0.979851269426079 1547.65911055192 0.846760282127262 0.293173889819424 0.908758672901425 -257.092918183167 0.893965182185154 0.884629887926413 0.992053727254334 -714.12981615006 0.973624463829557 0.54410488256656 0.985817979170265 651.237561537779 0.992261397581793 0.665731775421279 0.993682253970448
ST7 -542.149811811692 0.0399867121937269 0.24227723970382 0.901134172342053 -643.944166615369 0.0786307679971782 0.252112035374375 0.882027439612163 -358.331157025905 0.27530762786035 0.55663929023858 0.970312654265093 -231.724637490024 0.51108371599382 0.749022435845444 0.981679114744758 -260.777624597882 0.684594553454376 0.711150025159588 0.982492280334453 -877.01749268844 0.876545660381967 0.273964084962165 0.932568236856421 90.5115516623705 0.977927581983872 0.89941460002229 0.998898696998017
CDC27 269.538933881378 0.00349051840298845 0.732145822947242 0.986112043767247 297.224996749302 0.419406926765937 0.656668322766395 0.981133484542448 552.057042340817 0.736163257987172 0.279045860713976 0.902883034750063 304.551125984387 0.855971496674557 0.515473968304767 0.94785806918581 331.661261565486 0.9327963141222 0.41035343186177 0.937341093505498 219.686773731436 0.955342103817948 0.656489674075984 0.997377122847242 -654.891620530824 0.970270836477379 0.568292612948672 0.989308201315624
POLR2J -46.7821037646281 0.00261319012248817 0.767164953507957 0.990569659292755 20.7151223808609 0.488683293852528 0.874658614448501 0.995540639482732 -2.97310572816852 0.529585305895552 0.984818744258543 0.999203297502757 -91.7909009842346 0.723871977125732 0.539793677399815 0.952510375230201 41.0512779969715 0.79255216515049 0.809860127959959 0.99158133834357 -24.2642880040151 0.862691181011485 0.914510841199675 0.997956125616365 -444.080595028928 0.924968858001953 0.397703426948878 0.971000891404798
DHX33 768.043215002728 0.099639703198277 0.0607416031575717 0.710445530087422 588.248660699976 0.455396653465119 0.0994367403247363 0.772431088221245 402.244350059847 0.601824742805917 0.269025655055341 0.901350872148024 271.941000802511 0.770273332540492 0.415998701586686 0.934389301226348 172.449428235043 0.836948516753117 0.657609738583977 0.973324848097959 168.659736489645 0.940113522621156 0.631128477333907 0.994621294407857 628.878913490191 0.957771698925565 0.412858867938944 0.973181008668682
