"V1" "V2"
"225" 0.0431568992 5487.8699
"226" -1.5700814452 231.5342
"227" -1.5766175688 267.7729
"228" -1.6169513011 245.7357
"229" -1.5968309508 240.2604
"230" -0.858199129651 2273.5912
"231" -1.61544532111 176.5644
"232" -1.5261117912 226.7872
"233" -0.695726407099 1258.5034
"234" -1.5831536924 87.4865
"235" -1.5902948272 194.9027
"236" -0.7005853223 896.014
"237" -1.56985699008 264.565
"238" -1.61076069581 110.3527
"239" -0.7005853223 873.9764
"240" -1.6033499862 93.1376
"241" -0.863954050033 1363.9202
"242" -1.58721069197 145.0585
"243" -0.7005853223 1775.1305
"244" -0.739532231773 883.8594
"245" -0.0165858518 2271.4661
"246" -0.7005853223 240.043
"247" -1.5700814452 283.4369
"248" -1.5970915149 229.5869
"249" -1.59661879332 240.7108
"250" -1.6036276385 180.4646
"251" -0.700237088476 2111.84
"252" -1.4380519843 157.0852
"253" -1.58783609161 174.7574
"254" 0.181844221651 2022.3242
"255" -0.8511732788 2212.1429
"256" -1.5970915149 144.6819
"257" -0.714222153936 1410.142
"258" -1.5968309508 173.754
"259" -1.5968309508 164.7476
"260" -0.799233299664 212.108
"261" -0.0473705068409 1632.5789
"262" -0.8511732788 1088.2513
"263" -1.45672196129 154.5041
"264" -1.57260432145 353.8068
"265" -0.844532577222 1205.1688
"266" -1.6036276385 127.4134
"267" -0.101175655265 3415.2415
"268" -1.57477887065 96.006
"269" -0.727368521879 1090.5483
"270" -0.718438659774 517.0536
"271" -0.8648505372 2115.9196
"272" -1.5766175688 87.879
"273" -1.6107687733 107.733
"274" -0.126282259744 4548.9207
"275" -1.5766175688 147.6822
"276" -0.7005853223 2523.9911
"277" -0.7933336485 510.927
"278" -0.871063246688 277.5223
"279" -1.5766175688 156.685
"280" -0.6940491987 1112.7279
"281" -1.57592343806 198.1929
"282" -0.738915614558 1873.9824
"283" -0.829034526452 1281.0723
"284" -1.58793878239 149.0148
"285" -1.5766175688 220.475
"286" -1.5700814452 156.8164
"287" -0.8328753473 1831.3253
"288" -0.8328753473 2361.9971
"289" -1.59298980364 205.9564
"290" -0.793055996203 2396.319
"291" -0.7142625807 2112.8484
"292" -0.886826397082 1406.6186
"293" -1.57010105357 197.0964
"294" -1.5766175688 120.6202
"295" -1.6036276385 176.8395
"296" -0.852455984182 1802.2519
"297" -0.7005853223 2139.7436
"298" -0.694019442038 1308.7603
"299" -0.7142625807 1760.8398
"300" -0.86501893467 1386.6051
"301" -0.800664177656 1741.1989
"302" -1.59685709529 161.2933
"303" -0.71242388255 4722.3534
"304" -0.863974952771 1890.2233
"305" -1.59008266972 155.3918
"306" -0.85989847401 505.1987
"307" -0.8446371552 2176.1549
"308" -0.8530887293 3053.0699
"309" -1.5700814452 383.2693
"310" -0.7933336485 3916.332
"311" -1.5768781329 131.2649
"312" -0.700565713929 2716.6583
"313" -0.799388770958 1460.9779
"314" -1.6036276385 250.5662
"315" -0.0014062945006 3224.5229
"316" -0.0956692494 4511.5249
"317" -1.5968309508 201.0276
"318" -0.7210592684 2375
"319" -0.720917830081 1215.1783
"320" -1.6038882026 137.9313
"321" -1.61086945338 234.3807
"322" -0.718989977102 1755.5915
"323" 0.1819830478 3469.9273
"324" -0.863767437268 1638.1696
"325" -1.5766175688 211.9351
"326" -0.844498329051 1274.2543
"327" -0.1191928652 3625.1761
"328" -0.8394114709 4242.066
"329" -0.806267069551 1919.6042
"330" 0.0127763015291 2405.7851
"331" -1.60277900858 137.4983
"332" -0.8459475945 2777.5198
"333" -0.8135470305 1724.1169
"334" -0.783106125775 1458.8113
"335" -0.7998697721 2339.677
"336" -1.59523314401 257.5116
"337" -1.56938731446 199.632
"338" -1.6155625266 128.7575
"339" -0.710097796242 906.5005
"340" -1.5766175688 150.2255
"341" -1.58918421801 133.5428
"342" -0.7935942126 254.0464
"343" -1.60348881235 282.4859
"344" -0.7935942126 3964.6202
"345" -0.772902254131 1734.375
"346" -0.7145231448 1697.0477
"347" -1.59702079574 230.7468
"348" -0.725237026722 3048.6931
"349" -0.7998697721 3052.6802
"350" 0.206209758626 2538.736
"351" -0.696089257002 1504.2598
"352" -0.727943159183 1049.627
"353" -0.8203437182 2626.0979
"354" 0.1819830478 4191.8894
"355" -0.8135470305 1300.4398
"356" -1.59685055917 157.2271
"357" -0.8511732788 2112.7992
"358" -1.54765078713 183.0369
"359" -1.5905553913 237.7387
"360" -1.5766175688 223.2761
"361" -1.5766175688 161.4936
"362" 0.170588008999 6948.7096
"363" -1.57174252224 243.4721
"364" -1.56779844847 236.2604
"365" -0.838074545697 1366.4616
"366" -0.793340184624 2044.1749
"367" -0.881154547078 1283.7433
"368" -0.857186716214 1611.0105
"369" 0.0313950913 2653.223
"370" -1.5970915149 215.2975
"371" -0.863295850587 2065.0987
"372" -1.5831536924 235.3139
